source_file,record_count,processed_date
MD_violations_20251022_082259.csv,1,2026-02-01
VA_violations_20250902_082045.csv,1,2026-02-01
MD_violations_20251007_082040.csv,1,2026-02-01
PA_violations_20251225_082250.csv,1,2026-02-01
MD_violations_20260115_082537.csv,1,2026-02-01
MD_violations_20260114_082439.csv,1,2026-02-01
VA_violations_20251120_082223.csv,1,2026-02-01
MD_violations_20251215_082639.csv,1,2026-02-01
PA_violations_20251023_082132.csv,1,2026-02-01
PA_violations_20251220_082040.csv,1,2026-02-01
PA_violations_20251229_082605.csv,1,2026-02-01
VA_violations_20251005_081712.csv,1,2026-02-01
VA_violations_20251104_082211.csv,1,2026-02-01
MD_violations_20251008_082103.csv,1,2026-02-01
PA_violations_20251224_082348.csv,1,2026-02-01
VA_violations_20251215_082639.csv,1,2026-02-01
MD_violations_20250902_082045.csv,1,2026-02-01
PA_violations_20251015_082136.csv,1,2026-02-01
VA_violations_20251107_082126.csv,1,2026-02-01
PA_violations_20251121_082224.csv,1,2026-02-01
PA_violations_20251128_082209.csv,1,2026-02-01
MD_violations_20251206_082005.csv,1,2026-02-01
MD_violations_20251126_082225.csv,1,2026-02-01
MD_violations_20260109_082500.csv,1,2026-02-01
PA_violations_20250912_081918.csv,1,2026-02-01
MD_violations_20260130_083255.csv,1,2026-02-01
VA_violations_20250803_152951.csv,1,2026-02-01
PA_violations_20260109_082500.csv,1,2026-02-01
MD_violations_20260119_082736.csv,1,2026-02-01
MD_violations_20260122_082623.csv,1,2026-02-01
MD_violations_20260113_082503.csv,1,2026-02-01
MD_violations_20251117_082326.csv,1,2026-02-01
MD_violations_20250820_082048.csv,1,2026-02-01
PA_violations_20251007_082040.csv,1,2026-02-01
PA_violations_20250919_081937.csv,1,2026-02-01
PA_violations_20260121_082629.csv,1,2026-02-01
PA_violations_20260123_082445.csv,1,2026-02-01
MD_violations_20251130_081930.csv,1,2026-02-01
PA_violations_20251124_082327.csv,1,2026-02-01
PA_violations_20251104_082211.csv,1,2026-02-01
MD_violations_20250911_082000.csv,1,2026-02-01
VA_violations_20251015_082136.csv,1,2026-02-01
MD_violations_20250925_082015.csv,1,2026-02-01
PA_violations_20250814_085501.csv,1,2026-02-01
PA_violations_20251022_082259.csv,1,2026-02-01
PA_violations_20251009_082028.csv,1,2026-02-01
VA_violations_20250803_173741.csv,1,2026-02-01
VA_violations_20250820_082048.csv,1,2026-02-01
PA_violations_20251016_082136.csv,1,2026-02-01
VA_violations_20251231_082351.csv,1,2026-02-01
PA_violations_20250913_081704.csv,1,2026-02-01
PA_violations_20251116_081918.csv,1,2026-02-01
MD_violations_20251015_082136.csv,1,2026-02-01
MD_violations_20251119_082121.csv,1,2026-02-01
PA_violations_20260104_082154.csv,1,2026-02-01
VA_violations_20260119_082736.csv,1,2026-02-01
PA_violations_20260126_082705.csv,1,2026-02-01
VA_violations_20250909_082048.csv,1,2026-02-01
PA_violations_20250915_082030.csv,1,2026-02-01
PA_violations_20260101_082334.csv,1,2026-02-01
VA_violations_20250812_085411.csv,1,2026-02-01
MD_violations_20250913_081704.csv,1,2026-02-01
VA_violations_20251225_082250.csv,1,2026-02-01
